David Mamet: Mean_cast=14, Mean_crew=10
Zhang Yimou: Mean_cast=12.5, Mean_crew=17.166666
Ash Brannon: Mean_cast=15, Mean_crew=19
Frank Oz: Mean_cast=21.285715, Mean_crew=30.428572
Jay Roach: Mean_cast=33.125, Mean_crew=49.5
Luc Besson: Mean_cast=48.2, Mean_crew=51.4
Michael Patrick King: Mean_cast=32, Mean_crew=14
Don Michael Paul: Mean_cast=13, Mean_crew=20.333334
Sergei Bodrov: Mean_cast=31, Mean_crew=51
Wally Pfister: Mean_cast=41, Mean_crew=67
Rupert Wyatt: Mean_cast=25, Mean_crew=65.5
Mark Waters: Mean_cast=26.666666, Mean_crew=41.5
John Moore: Mean_cast=18, Mean_crew=74.5
John Lee Hancock: Mean_cast=17, Mean_crew=51.5
Renny Harlin: Mean_cast=26.133333, Mean_crew=41.733334
Phil Lord: Mean_cast=30, Mean_crew=46.5
Ben Stiller: Mean_cast=66.4, Mean_crew=36
Tony Bancroft: Mean_cast=21, Mean_crew=27
Timur Bekmambetov: Mean_cast=22.75, Mean_crew=17.75
Walt Becker: Mean_cast=19.75, Mean_crew=30.75
Dennis Dugan: Mean_cast=41.22222, Mean_crew=21.444445
Sydney Pollack: Mean_cast=25.8, Mean_crew=38
Thor Freudenthal: Mean_cast=25.333334, Mean_crew=38
Brian De Palma: Mean_cast=25.166666, Mean_crew=38.166668
Mick Jackson: Mean_cast=21, Mean_crew=33
Alan J. Pakula: Mean_cast=14.5, Mean_crew=25.5
Kathryn Bigelow: Mean_cast=23.666666, Mean_crew=20.666666
John Milius: Mean_cast=13.333333, Mean_crew=30
Andrei Konchalovsky: Mean_cast=14, Mean_crew=5
Gary Ross: Mean_cast=32.666668, Mean_crew=64
Paul W.S. Anderson: Mean_cast=19.7, Mean_crew=53.5
Genndy Tartakovsky: Mean_cast=20, Mean_crew=9.666667
Kevin Lima: Mean_cast=10, Mean_crew=18.5
Daniel Espinosa: Mean_cast=17.666666, Mean_crew=35.666668
Nancy Meyers: Mean_cast=38.4, Mean_crew=29.6
Jill Culton: Mean_cast=17, Mean_crew=14
Neil Burger: Mean_cast=18.5, Mean_crew=39
Jean-Jacques Annaud: Mean_cast=15, Mean_crew=27.25
Barry Cook: Mean_cast=30, Mean_crew=22
Martin Brest: Mean_cast=13.75, Mean_crew=36.5
Andrew Davis: Mean_cast=45.25, Mean_crew=53.75
Bob Fosse: Mean_cast=17.5, Mean_crew=12.5
Tarsem Singh: Mean_cast=30.5, Mean_crew=44.25
Edgar Wright: Mean_cast=38, Mean_crew=15
Jon Amiel: Mean_cast=30.25, Mean_crew=91.5
Peter Segal: Mean_cast=26.571428, Mean_crew=29.571428
Pete Travis: Mean_cast=22, Mean_crew=46.5
George A. Romero: Mean_cast=20.428572, Mean_crew=19.571428
Sylvester Stallone: Mean_cast=19, Mean_crew=67
Todd Phillips: Mean_cast=39.57143, Mean_crew=35.57143
Karey Kirkpatrick: Mean_cast=19, Mean_crew=12
Gary Winick: Mean_cast=34.2, Mean_crew=22.8
Mimi Leder: Mean_cast=21.666666, Mean_crew=70.333336
Seth Gordon: Mean_cast=27.666666, Mean_crew=35.666668
Adam Shankman: Mean_cast=81.5, Mean_crew=13.5
D.J. Caruso: Mean_cast=25.5, Mean_crew=42.75
Anthony Minghella: Mean_cast=42, Mean_crew=55.333332
Albert Hughes: Mean_cast=27.666666, Mean_crew=52.666668
Les Mayfield: Mean_cast=23.6, Mean_crew=8.6
Joe Pytka: Mean_cast=28, Mean_crew=116
Scott Derrickson: Mean_cast=20.75, Mean_crew=56
Ivan Reitman: Mean_cast=38.25, Mean_crew=29.75
Eric Brevig: Mean_cast=12, Mean_crew=11
Kelly Asbury: Mean_cast=15, Mean_crew=25
Stephen Hopkins: Mean_cast=29.166666, Mean_crew=49.666668
Jonathan Demme: Mean_cast=38.6, Mean_crew=49.2
Henry Jaglom: Mean_cast=11, Mean_crew=3
James Algar: Mean_cast=12, Mean_crew=46
Vincent Ward: Mean_cast=18, Mean_crew=16
Steven Brill: Mean_cast=24, Mean_crew=33.5
Terry Gilliam: Mean_cast=25, Mean_crew=41.714287
Lucile Hadzihalilovic: Mean_cast=7, Mean_crew=19
Roger Christian: Mean_cast=16, Mean_crew=12
Joe Dante: Mean_cast=26.833334, Mean_crew=28.666666
Kevin Costner: Mean_cast=32.333332, Mean_crew=32
Antony Hoffman: Mean_cast=9, Mean_crew=93
Jacques Perrin: Mean_cast=5, Mean_crew=17
Andrés Couturier: Mean_cast=6, Mean_crew=4
Roger Allers: Mean_cast=28, Mean_crew=33
Cody Cameron: Mean_cast=15, Mean_crew=29
John Singleton: Mean_cast=22.714285, Mean_crew=37
Oliver Hirschbiegel: Mean_cast=39.5, Mean_crew=40
Des McAnuff: Mean_cast=20, Mean_crew=9
Chris Renaud: Mean_cast=31, Mean_crew=53
Stephen Norrington: Mean_cast=40.5, Mean_crew=148.5
Pierre Coffin: Mean_cast=36, Mean_crew=28
David Kellogg: Mean_cast=16, Mean_crew=7
Mike Nichols: Mean_cast=16.5, Mean_crew=21.333334
Vicky Jenson: Mean_cast=23.5, Mean_crew=66
F. Gary Gray: Mean_cast=32.25, Mean_crew=34
Antoine Fuqua: Mean_cast=22.375, Mean_crew=50.25
Robert Luketic: Mean_cast=28.5, Mean_crew=16.333334
Gil Kenan: Mean_cast=19, Mean_crew=62
Barry Levinson: Mean_cast=20.846153, Mean_crew=31.23077
Jerry Zucker: Mean_cast=18.25, Mean_crew=30.25
Andy Tennant: Mean_cast=20.833334, Mean_crew=23.666666
Florent-Emilio Siri: Mean_cast=14, Mean_crew=24
Gary Goldman: Mean_cast=10, Mean_crew=52.5
Ron Shelton: Mean_cast=22, Mean_crew=18.25
Àlex Pastor: Mean_cast=13, Mean_crew=12
Henry Selick: Mean_cast=54, Mean_crew=55
Kyle Balda: Mean_cast=17, Mean_crew=12
Fergal Reilly: Mean_cast=32, Mean_crew=6
Judd Apatow: Mean_cast=48.4, Mean_crew=19
Steve Carr: Mean_cast=59.75, Mean_crew=36
Mel Gibson: Mean_cast=39.333332, Mean_crew=88
David Silverman: Mean_cast=21, Mean_crew=66
Frank Darabont: Mean_cast=34, Mean_crew=56.25
Betty Thomas: Mean_cast=16.25, Mean_crew=11
Garry Marshall: Mean_cast=29.625, Mean_crew=17.875
Paul Tibbitt: Mean_cast=61, Mean_crew=98
Clark Johnson: Mean_cast=15.5, Mean_crew=62.5
Cameron Crowe: Mean_cast=21.166666, Mean_crew=21.666666
